TTI[0  ] - trigger[14 , -1 ]
TTI[0  ] - trigger[84 , -1 ]
TTI[1  ] - trigger[38 , -1 ]
TTI[1  ] - trigger[157, -1 ]
TTI[2  ] - trigger[10 , -1 ]
TTI[2  ] - trigger[222, -1 ]
TTI[2  ] - trigger[231, -1 ]
TTI[3  ] - trigger[80 , -1 ]
TTI[4  ] - trigger[20 , -1 ]
TTI[4  ] - trigger[27 , -1 ]
TTI[4  ] - trigger[68 , -1 ]
TTI[5  ] - trigger[60 , -1 ]
TTI[5  ] - trigger[163, -1 ]
TTI[5  ] - trigger[190, -1 ]
TTI[6  ] - trigger[159, -1 ]
TTI[7  ] - trigger[19 , -1 ]
TTI[7  ] - trigger[124, -1 ]
TTI[7  ] - trigger[198, -1 ]
TTI[9  ] - trigger[13 , -1 ]
TTI[9  ] - trigger[129, -1 ]
TTI[9  ] - trigger[183, -1 ]
TTI[10 ] - trigger[85 , -1 ]
TTI[12 ] - trigger[16 , -1 ]
TTI[12 ] - trigger[23 , -1 ]
TTI[12 ] - trigger[121, -1 ]
TTI[12 ] - trigger[131, -1 ]
TTI[13 ] - trigger[5  , -1 ]
TTI[13 ] - trigger[53 , -1 ]
TTI[13 ] - trigger[90 , -1 ]
TTI[13 ] - trigger[134, -1 ]
TTI[13 ] - trigger[200, -1 ]
TTI[14 ] - trigger[42 , -1 ]
TTI[14 ] - trigger[54 , -1 ]
TTI[14 ] - trigger[57 , -1 ]
TTI[15 ] - trigger[22 , -1 ]
TTI[15 ] - trigger[104, -1 ]
TTI[15 ] - trigger[118, -1 ]
TTI[15 ] - trigger[140, -1 ]
TTI[16 ] - trigger[3  , -1 ]
TTI[16 ] - trigger[167, -1 ]
TTI[18 ] - trigger[12 , -1 ]
TTI[18 ] - trigger[117, -1 ]
TTI[18 ] - trigger[145, -1 ]
TTI[18 ] - trigger[165, -1 ]
TTI[19 ] - trigger[40 , -1 ]
TTI[19 ] - trigger[216, -1 ]
